,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
1367,Eliot Matazo,Monaco,1.1,63,61,2,1,0,1,1,1,0,0,0,0,50,0,0
1368,Jean-Philippe Mateta,Crystal Palace,4.3,68,64,4,0,1,0,2,0,0,0,0,0,45,0,4
1369,Nemanja Matic,Rennes,9.0,652,620,29,28,1,2,5,1,0,0,0,0,562,3,12
1370,Joel Matip,Liverpool,6.9,458,453,4,4,0,0,0,0,0,0,0,0,401,1,3
1371,Alex Matos,Chelsea,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,Chrislain Matsima,Monaco,3.3,229,222,6,2,0,0,0,3,0,0,0,0,213,1,0
1373,Alan Matturro,Genoa,0.9,24,23,1,0,0,0,0,1,0,0,0,0,15,0,1
1374,Azor Matusiwa,Reims,9.5,447,442,5,5,0,2,0,0,0,0,0,0,383,0,6
1375,Neal Maupay,Brentford,3.0,71,64,7,2,1,0,2,2,0,0,0,0,52,0,7
1376,Neal Maupay,Everton,1.2,26,23,3,0,0,1,0,0,0,0,0,0,22,0,1
1378,Aiman Maurer,Clermont Foot,0.4,19,16,3,0,0,0,3,1,2,2,0,0,13,0,0
1379,Konstantinos Mavropanos,West Ham,1.0,41,38,3,3,0,1,0,0,0,0,0,0,29,0,1
1380,Christian Mawissa,Toulouse,0.2,7,6,1,0,0,0,0,1,0,0,0,0,6,0,0
1381,Philipp Max,Eint Frankfurt,6.9,377,304,72,9,0,1,19,57,6,1,3,0,316,1,5
1382,Eric Maxim Choupo-Moting,Bayern Munich,1.8,75,72,3,0,2,0,1,0,0,0,0,0,64,0,3
1383,Luis Maximiano,Almería,10.0,326,197,126,36,0,0,0,0,0,0,0,0,209,3,0
1384,Borja Mayoral,Getafe,11.0,238,232,5,0,0,4,13,1,0,0,0,0,166,1,12
1385,Youssef Maziz,Metz,1.4,39,33,5,1,1,2,4,1,3,2,1,0,30,1,0
1386,Noussair Mazraoui,Bayern Munich,7.6,547,486,60,7,0,0,13,53,0,0,0,0,479,1,13
1387,Luca Mazzitelli,Frosinone,10.1,562,536,22,14,0,6,14,3,1,1,0,0,433,4,10
1388,Pasquale Mazzocchi,Salernitana,8.8,396,312,83,7,1,2,29,75,1,0,1,0,286,1,13
1389,Kevin Mbabu,Augsburg,3.6,141,102,38,0,0,0,12,38,0,0,0,0,82,1,5
1390,Noah Mbamba,Leverkusen,0.2,19,19,0,0,0,0,1,0,0,0,0,0,18,0,0
1391,Kylian Mbappe,Paris S-G,9.8,391,379,9,2,4,3,9,3,3,0,0,0,329,3,4
1392,Malick Mbaye,Metz,1.6,50,45,5,1,0,0,12,0,3,0,3,0,31,0,5
1393,Mamadou Mbaye,Cádiz,0.6,22,20,2,2,0,0,0,0,0,0,0,0,15,0,0
1394,Chancel Mbemba,Marseille,10.0,552,525,26,14,0,0,1,2,0,0,0,0,488,1,1
1395,Nolan Mbemba,Le Havre,0.2,21,20,1,0,0,1,2,0,1,0,1,0,15,0,0
1396,Bryan Mbeumo,Brentford,12.0,457,390,62,17,5,2,66,9,36,16,7,3,315,5,16
1397,Jordi Mboula,Hellas Verona,1.3,26,25,1,1,0,0,1,0,0,0,0,0,16,0,4
1398,James Mcatee,Sheffield Utd,5.7,145,136,7,1,1,0,5,0,1,0,0,0,98,2,4
1399,James Mcatee,Manchester City,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,Oliver McBurnie,Sheffield Utd,4.8,145,140,3,0,1,1,1,0,0,0,0,0,85,2,9
1401,James McConnell,Liverpool,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,John McGinn,Aston Villa,11.3,380,358,20,6,7,4,21,1,12,8,0,0,303,2,10
1404,Scott McKenna,Nott'ham Forest,4.6,186,168,18,1,0,0,0,17,0,0,0,0,137,0,2
1405,Weston McKennie,Juventus,9.8,421,345,75,3,0,3,22,71,1,0,0,0,322,1,8
1406,Dwight McNeil,Everton,7.6,261,231,27,9,2,0,49,3,13,12,1,0,179,3,16
1407,Scott McTominay,Manchester Utd,5.8,181,175,5,2,0,2,1,1,0,0,0,0,147,1,7
1408,Facundo Medina,Lens,10.2,725,684,38,32,3,4,4,6,0,0,0,0,632,3,8
1409,Ben Mee,Brentford,2.7,107,100,7,1,0,1,2,6,0,0,0,0,78,0,3
1410,Marvin Mehlem,Darmstadt 98,9.6,357,331,25,4,2,0,10,6,1,0,0,0,271,1,11
1411,Bamo Meite,Marseille,0.9,74,70,4,2,0,0,1,1,0,0,0,0,70,0,0
