,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
225,Davide Bassi,ITA,GK,Atalanta,it Serie A,30.0,1985.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Sébastien Bassong,CMR,DF,Norwich City,eng Premier League,29.0,1986.0,32.0,30.0,2790.0,31.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.03,0.0,0.03,0.03,0.03
227,Dušan Basta,SRB,DF,Lazio,it Serie A,30.0,1984.0,23.0,21.0,1815.0,20.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Borja Bastón,ESP,FW,Eibar,es La Liga,22.0,1992.0,36.0,29.0,2571.0,28.6,18.0,3.0,15.0,3.0,3.0,3.0,0.0,0.63,0.11,0.74,0.53,0.63
229,Michy Batshuayi,BEL,FW,Marseille,fr Ligue 1,21.0,1993.0,36.0,32.0,2935.0,32.6,17.0,9.0,15.0,2.0,2.0,8.0,0.0,0.52,0.28,0.8,0.46,0.74
230,Robert Bauer,DEU,DF,Ingolstadt 04,de Bundesliga,20.0,1995.0,24.0,18.0,1680.0,18.7,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.05,0.05,0.11,0.05,0.11
231,Oliver Baumann,DEU,GK,Hoffenheim,de Bundesliga,25.0,1990.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Timo Baumgartl,DEU,DF,Stuttgart,de Bundesliga,19.0,1996.0,19.0,17.0,1547.0,17.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Julian Baumgartlinger,AUT,MF,Mainz 05,de Bundesliga,27.0,1988.0,31.0,30.0,2717.0,30.2,2.0,1.0,2.0,0.0,0.0,7.0,0.0,0.07,0.03,0.1,0.07,0.1
235,Alexander Baumjohann,DEU,MF,Hertha BSC,de Bundesliga,28.0,1987.0,24.0,1.0,453.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.2,0.4,0.6,0.0,0.4
236,Éric Bauthéac,FRA,"FW,MF",Lille,fr Ligue 1,27.0,1987.0,28.0,25.0,2163.0,24.0,2.0,1.0,2.0,0.0,0.0,7.0,0.0,0.08,0.04,0.12,0.08,0.12
237,Jon Bautista,ESP,FW,Real Sociedad,es La Liga,20.0,1995.0,4.0,1.0,118.0,1.3,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.76,0.0,0.76,0.76,0.76
238,Moustapha Bayal Sall,SEN,DF,Saint-Étienne,fr Ligue 1,29.0,1985.0,28.0,27.0,2358.0,26.2,3.0,0.0,3.0,0.0,0.0,9.0,1.0,0.11,0.0,0.11,0.11,0.11
239,Paul Baysse,FRA,DF,Nice,fr Ligue 1,27.0,1988.0,30.0,29.0,2585.0,28.7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
240,Noah Joel Sarenren Bazee,NGA,"MF,DF",Hannover 96,de Bundesliga,18.0,1996.0,5.0,5.0,378.0,4.2,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.71,0.71,0.0,0.71
241,Hervé Bazile,HTI,"MF,FW",Caen,fr Ligue 1,25.0,1990.0,25.0,11.0,1078.0,12.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25
242,Claudio Beauvue,GLP,"MF,FW",Celta Vigo,es La Liga,27.0,1988.0,10.0,6.0,506.0,5.6,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.18,0.0,0.18,0.18,0.18
243,Claudio Beauvue,GLP,FW,Lyon,fr Ligue 1,27.0,1988.0,19.0,15.0,1279.0,14.2,5.0,2.0,4.0,1.0,1.0,0.0,0.0,0.35,0.14,0.49,0.28,0.42
244,Bebé,CPV,MF,Rayo Vallecano,es La Liga,25.0,1990.0,34.0,27.0,2237.0,24.9,3.0,7.0,3.0,0.0,0.0,3.0,0.0,0.12,0.28,0.4,0.12,0.4
245,Uffe Bech,DNK,"MF,FW",Hannover 96,de Bundesliga,22.0,1993.0,11.0,8.0,683.0,7.6,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.13,0.13,0.26,0.13,0.26
246,Henri Bedimo,CMR,DF,Lyon,fr Ligue 1,31.0,1984.0,18.0,14.0,1226.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Alejandro Bedoya,USA,MF,Nantes,fr Ligue 1,28.0,1987.0,28.0,22.0,2056.0,22.8,3.0,3.0,3.0,0.0,0.0,2.0,1.0,0.13,0.13,0.26,0.13,0.26
248,Roy Beerens,NLD,MF,Hertha BSC,de Bundesliga,27.0,1987.0,2.0,2.0,110.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
249,Asmir Begović,BIH,GK,Chelsea,eng Premier League,28.0,1987.0,17.0,15.0,1399.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Julien Bègue,REU,MF,Guingamp,fr Ligue 1,21.0,1993.0,3.0,0.0,46.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.96,1.96,0.0,1.96
251,Valon Behrami,CHE,MF,Watford,eng Premier League,30.0,1985.0,21.0,14.0,1279.0,14.2,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.07,0.07,0.0,0.07
252,Maximilian Beister,DEU,"FW,MF",Mainz 05,de Bundesliga,24.0,1990.0,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Vid Belec,SVN,GK,Carpi,it Serie A,25.0,1990.0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
254,Younès Belhanda,MAR,MF,Schalke 04,de Bundesliga,25.0,1990.0,15.0,8.0,814.0,9.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.22,0.11,0.33,0.22,0.33
255,Stefan Bell,DEU,DF,Mainz 05,de Bundesliga,23.0,1991.0,30.0,29.0,2635.0,29.3,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.03,0.07,0.1,0.03,0.1
