,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
1610,Chadi Riad,Crystal Palace,1.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1612,Alexsandro Ribeiro,Lille,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,14.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
1613,Samuele Ricci,Torino,3.7,0,4,1,25.0,1.09,0.27,0.00,0.00,24.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3
1614,Declan Rice,Arsenal,2.5,0,3,1,33.3,1.22,0.41,0.00,0.00,16.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
1615,Chris Richards,Crystal Palace,2.8,0,1,0,0.0,0.35,0.00,0.00,0.0,8.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1
1616,Amir Richardson,Fiorentina,1.2,0,1,1,100.0,0.85,0.85,0.00,0.00,11.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
1617,Richarlison,Tottenham,0.3,0,1,0,0.0,3.60,0.00,0.00,0.0,4.8,0,0,0,0.2,0.2,0.19,-0.2,-0.2
1618,Diego Rico,Getafe,3.9,0,2,1,50.0,0.51,0.25,0.00,0.00,31.2,0,0,0,0.0,0.0,0.01,0.0,0.0
1619,Fabian Rieder,Stuttgart,1.6,1,5,1,20.0,3.12,0.62,0.20,1.00,24.8,3,0,0,0.2,0.2,0.05,+0.8,+0.8
1620,Luis Rioja,Alavés,0.3,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
