,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
141,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,Bundesliga,23.0,1997.0,8.5,358.0,332.0,25.0,23.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,291.0,1.0,12.0
142,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,31.0,1989.0,36.0,1308.0,947.0,358.0,75.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,3.0,0.0
143,Marco Asensio,es ESP,"FW,MF",Real Madrid,La Liga,24.0,1996.0,20.8,1012.0,948.0,60.0,11.0,1.0,12.0,97.0,20.0,29.0,9.0,5.0,0.0,798.0,4.0,32.0
144,Kristoffer Askildsen,no NOR,MF,Sampdoria,Serie A,19.0,2001.0,1.1,19.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
145,Iago Aspas,es ESP,FW,Celta Vigo,La Liga,32.0,1987.0,31.8,1275.0,1209.0,55.0,19.0,9.0,11.0,28.0,12.0,2.0,1.0,1.0,0.0,983.0,11.0,34.0
146,Roger Assalé,ci CIV,"FW,MF",Dijon,Ligue 1,26.0,1993.0,9.2,181.0,171.0,9.0,1.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,118.0,1.0,5.0
147,Youcef Atal,dz ALG,"DF,FW",Nice,Ligue 1,24.0,1996.0,10.6,630.0,533.0,97.0,11.0,1.0,5.0,51.0,86.0,0.0,0.0,0.0,0.0,496.0,0.0,14.0
148,Miguel Atienza,es ESP,MF,Eibar,La Liga,21.0,1999.0,9.3,341.0,340.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,3.0
149,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,Premier League,31.0,1989.0,25.9,674.0,651.0,14.0,0.0,1.0,3.0,38.0,3.0,0.0,0.0,0.0,0.0,499.0,9.0,12.0
150,Emil Audero,it ITA,GK,Sampdoria,Serie A,23.0,1997.0,37.0,1247.0,873.0,372.0,113.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0,2.0,0.0
151,Tommaso Augello,it ITA,DF,Sampdoria,Serie A,25.0,1994.0,35.7,2061.0,1701.0,357.0,42.0,0.0,5.0,148.0,315.0,0.0,0.0,0.0,0.0,1564.0,3.0,62.0
152,Jean-Kévin Augustin,fr FRA,FW,Nantes,Ligue 1,23.0,1997.0,0.4,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
153,Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,Bundesliga,26.0,1994.0,21.7,1177.0,854.0,317.0,55.0,0.0,5.0,193.0,191.0,71.0,29.0,39.0,0.0,762.0,6.0,31.0
154,Serge Aurier,ci CIV,DF,Tottenham,Premier League,27.0,1992.0,17.8,980.0,823.0,157.0,4.0,1.0,1.0,35.0,153.0,0.0,0.0,0.0,0.0,772.0,0.0,32.0
156,Charlie Austin,eng ENG,"FW,MF",West Brom,Premier League,31.0,1989.0,1.5,34.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0
157,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,La Liga,26.0,1994.0,2.2,54.0,53.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0
158,Taiwo Awoniyi,ng NGA,FW,Union Berlin,Bundesliga,22.0,1997.0,15.1,295.0,289.0,5.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,194.0,1.0,7.0
159,Mehmet Aydin,de GER,DF,Schalke 04,Bundesliga,18.0,2002.0,5.6,204.0,156.0,48.0,1.0,0.0,0.0,10.0,47.0,0.0,0.0,0.0,0.0,136.0,0.0,8.0
160,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,Premier League,28.0,1991.0,23.3,667.0,656.0,10.0,3.0,1.0,3.0,31.0,2.0,0.0,0.0,0.0,0.0,519.0,1.0,30.0
