,Player,Squad,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP
2048,Djibril Sidibe,Toulouse,9.1,444,554,80.1,8388,3785,171,193,88.6,210,252,83.3,54,80,67.5,2,2.0,1.4,0.0,10,38,16,7,50
2049,Armindo Sieb,Mainz 05,4.3,72,105,68.6,917,275,47,58,81.0,21,35,60.0,1,3,33.3,0,0.1,0.2,-0.1,3,7,3,0,9
2050,Vincent Sierro,Toulouse,12.1,533,705,75.6,9639,3385,231,272,84.9,248,304,81.6,46,102,45.1,1,2.4,2.5,-1.4,20,58,15,0,90
2051,Tim Siersleben,Heidenheim,0.6,21,26,80.8,455,211,3,4,75.0,14,15,93.3,4,7,57.1,0,0.1,0.0,-0.1,1,3,1,1,2
2052,Kiliann Sildillia,Freiburg,0.6,30,38,78.9,458,171,16,19,84.2,8,10,80.0,4,6,66.7,0,0.0,0.0,0.0,0,4,0,0,2
2054,Andre Silva,RB Leipzig,0.8,22,27,81.5,277,70,14,16,87.5,5,6,83.3,2,2,100.0,1,0.4,0.1,+0.6,1,1,1,0,2
2055,Bernardo Silva,Manchester City,11.3,600,691,86.8,8802,1584,347,376,92.3,212,241,88.0,25,39,64.1,3,3.1,2.1,-0.1,28,32,13,3,59
2056,Caio Henrique Oliveira Silva,Monaco,6.5,371,472,78.6,5513,1821,227,249,91.2,120,152,78.9,19,51,37.3,1,1.6,1.7,-0.6,14,28,10,1,33
2057,Fabio Silva,Las Palmas,9.0,136,216,63.0,1856,324,78,112,69.6,37,58,63.8,9,17,52.9,1,0.2,0.3,+0.8,4,7,5,2,10
2058,Jota Silva,Nott'ham Forest,3.8,41,75,54.7,648,244,21,33,63.6,14,24,58.3,3,6,50.0,1,1.0,0.9,0.0,5,1,3,2,8
2059,Eric da Silva Moreira,Nott'ham Forest,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2060,Rui Silva,Betis,15.0,412,524,78.6,10283,6196,66,66,100.0,250,250,100.0,93,203,45.8,0,0.1,0.0,-0.1,2,5,0,0,0
2061,Abdallah Sima,Brest,4.0,64,93,68.8,817,250,45,57,78.9,16,24,66.7,1,1,100.0,1,0.2,0.1,+0.8,2,3,2,1,9
2062,Mohamed Simakan,RB Leipzig,0.6,42,50,84.0,779,306,15,19,78.9,21,23,91.3,5,5,100.0,0,0.3,0.2,-0.3,3,5,2,1,7
2063,Giovanni Simeone,Napoli,2.5,40,56,71.4,462,60,27,31,87.1,11,16,68.8,0,1,0.0,0,0.3,0.2,-0.3,5,1,0,0,2
2064,Giuliano Simeone,Atlético Madrid,4.7,162,213,76.1,2027,570,108,125,86.4,41,59,69.5,3,9,33.3,2,0.8,1.2,+1.2,6,7,7,2,14
2065,Moses Simon,Nantes,11.1,211,329,64.1,3756,1008,102,127,80.3,87,121,71.9,22,50,44.0,4,2.4,2.1,+1.6,20,8,15,9,23
2066,Xavi Simons,RB Leipzig,6.8,267,343,77.8,4245,1136,139,160,86.9,92,109,84.4,25,50,50.0,1,2.0,1.9,-1.0,14,21,17,2,43
2067,Jahmai Simpson-Pusey,Manchester City,1.0,99,107,92.5,1594,477,44,46,95.7,53,55,96.4,2,6,33.3,0,0.0,0.0,0.0,0,3,0,0,3
2068,Danel Sinani,St. Pauli,1.4,36,54,66.7,477,122,20,24,83.3,12,18,66.7,1,8,12.5,0,0.1,0.1,-0.1,1,4,0,0,3
2069,Lassine Sinayoko,Auxerre,9.7,225,287,78.4,2953,599,136,162,84.0,68,80,85.0,3,9,33.3,3,2.8,2.1,+0.2,14,8,7,2,28
2070,Wilfried Singo,Monaco,9.2,461,542,85.1,8832,3054,161,183,88.0,253,269,94.1,41,79,51.9,1,0.1,0.4,+0.9,2,42,6,1,47
2071,Luis Sinisterra,Bournemouth,2.3,54,70,77.1,789,117,33,35,94.3,17,26,65.4,3,3,100.0,1,1.0,0.9,0.0,9,4,1,1,3
2072,Daley Sinkgraven,Las Palmas,1.0,50,66,75.8,682,211,31,31,100.0,17,25,68.0,1,7,14.3,0,0.0,0.0,0.0,1,2,1,0,3
2073,Jailson Siqueira,Celta Vigo,5.0,316,351,90.0,5699,2174,115,123,93.5,173,186,93.0,25,35,71.4,0,0.0,0.1,0.0,0,20,0,0,30
2074,Ibrahim Sissoko,Saint-Étienne,8.5,105,160,65.6,1553,196,63,85,74.1,31,47,66.0,7,11,63.6,1,0.5,0.3,+0.5,6,9,1,0,11
2075,Ibrahima Sissoko,Bochum,10.2,271,342,79.2,4727,1623,112,127,88.2,133,161,82.6,21,36,58.3,0,0.4,0.6,-0.4,10,32,6,3,43
2076,Niama Sissoko,Reims,0.2,2,5,40.0,53,1,0,0,0.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
2077,Antonio Sivera,Alavés,15.0,251,444,56.5,9912,8579,17,17,100.0,93,95,97.9,139,328,42.4,0,0.1,0.1,-0.1,1,20,1,0,1
