,Squad,Comp,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Vs Dribbles - Tkl,Vs Dribbles - Att,Vs Dribbles - Tkl%,Vs Dribbles - Past,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
32,Genoa,Serie A,34.0,38.0,551.0,335.0,268.0,210.0,73.0,212.0,589.0,36.0,377.0,410.0,150.0,260.0,385.0,936.0,775.0,16.0
33,Getafe,La Liga,30.0,38.0,580.0,341.0,235.0,263.0,82.0,235.0,573.0,41.0,338.0,374.0,60.0,314.0,367.0,947.0,625.0,12.0
34,Granada,La Liga,27.0,38.0,584.0,348.0,257.0,257.0,70.0,238.0,570.0,41.8,332.0,375.0,118.0,257.0,385.0,969.0,750.0,10.0
35,Hellas Verona,Serie A,30.0,38.0,488.0,290.0,237.0,187.0,64.0,203.0,463.0,43.8,260.0,361.0,173.0,188.0,398.0,886.0,825.0,10.0
36,Hertha BSC,Bundesliga,32.0,34.0,555.0,340.0,282.0,221.0,52.0,208.0,521.0,39.9,313.0,434.0,130.0,304.0,410.0,965.0,794.0,12.0
37,Hoffenheim,Bundesliga,31.0,34.0,529.0,309.0,283.0,196.0,50.0,239.0,578.0,41.3,339.0,384.0,121.0,263.0,349.0,878.0,719.0,9.0
38,Inter,Serie A,29.0,38.0,524.0,287.0,228.0,212.0,84.0,196.0,575.0,34.1,379.0,371.0,120.0,251.0,370.0,894.0,657.0,12.0
39,Juventus,Serie A,30.0,38.0,539.0,318.0,225.0,219.0,95.0,224.0,582.0,38.5,358.0,374.0,120.0,254.0,370.0,909.0,590.0,14.0
40,Köln,Bundesliga,29.0,34.0,610.0,414.0,293.0,258.0,59.0,249.0,622.0,40.0,373.0,397.0,97.0,300.0,435.0,1045.0,681.0,5.0
41,Lazio,Serie A,27.0,38.0,547.0,311.0,270.0,205.0,72.0,224.0,612.0,36.6,388.0,404.0,142.0,262.0,378.0,925.0,642.0,9.0
