,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
1778,Yohan Mollo,fr FRA,"DF,FW",Saint-Étienne,Ligue 1,25.0,1989.0,12.8,4.0,0.0,,26.0,,,,,,,,
1779,Gabriele Moncini,it ITA,FW,Cesena,Serie A,18.0,1996.0,0.2,0.0,0.0,,1.0,,,,,,,,
1780,Cédric Mongongu,cd COD,DF,Evian,Ligue 1,25.0,1989.0,19.9,4.0,0.0,,19.0,,,,,,,,
1781,Kévin Monnet-Paquet,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,25.0,1988.0,19.2,0.0,0.0,,21.0,,,,,,,,
1782,Nacho Monreal,es ESP,DF,Arsenal,Premier League,28.0,1986.0,25.7,3.0,0.0,,24.0,,,,,,,,
1783,Paco Montañés,es ESP,"FW,MF",Espanyol,La Liga,27.0,1986.0,12.1,2.0,0.0,,12.0,,,,,,,,
1784,Víctor Montaño,co COL,FW,Montpellier,Ligue 1,30.0,1984.0,2.9,2.0,0.0,,6.0,,,,,,,,
1785,Jefferson Montero,ec ECU,"FW,MF",Swansea City,Premier League,24.0,1989.0,17.5,0.0,0.0,,12.0,,,,,,,,
1786,Riccardo Montolivo,it ITA,MF,Milan,Serie A,29.0,1985.0,7.9,1.0,0.0,,10.0,,,,,,,,
1787,Martín Montoya,es ESP,DF,Barcelona,La Liga,23.0,1991.0,6.6,0.0,0.0,,8.0,,,,,,,,
1788,Liam Moore,jm JAM,DF,Leicester City,Premier League,21.0,1993.0,10.4,4.0,0.0,,8.0,,,,,,,,
1789,Taylor Moore,eng ENG,"DF,MF",Lens,Ligue 1,17.0,1997.0,4.0,1.0,0.0,,7.0,,,,,,,,
1790,Maximiliano Moralez,ar ARG,"FW,MF",Atalanta,Serie A,27.0,1987.0,24.9,3.0,0.0,,32.0,,,,,,,,
1791,Erik Morán,es ESP,MF,Athletic Club,La Liga,23.0,1991.0,0.6,0.0,0.0,,0.0,,,,,,,,
1792,Vangelis Moras,gr GRE,DF,Hellas Verona,Serie A,32.0,1981.0,33.8,4.0,0.0,,18.0,,,,,,,,
1794,Álvaro Morata,es ESP,FW,Juventus,Serie A,21.0,1992.0,14.8,6.0,1.0,,31.0,,,,,,,,
1795,Jorge Morcillo,es ESP,DF,Rayo Vallecano,La Liga,28.0,1986.0,8.3,4.0,2.0,,16.0,,,,,,,,
1796,Jonathan Moreira,br BRA,DF,Inter,Serie A,28.0,1986.0,1.9,0.0,0.0,,2.0,,,,,,,,
