,Player,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
2094,Angel Montoro,15,973,65,28.5,10.8,11,78,8,4,30,1,1.60,18,12,+6,+0.55,+0.52,12.7,13.6,-0.9,-0.09,-0.21
2095,Martin Montoya,27,1896,70,55.4,21.1,23,79,13,4,20,7,1.07,19,32,-13,-0.62,-0.50,25.3,31.9,-6.6,-0.31,-0.14
2097,Aaron Mooy,31,2085,67,61.0,23.2,25,80,14,6,16,5,1.03,19,31,-12,-0.52,-0.32,25.0,33.4,-8.3,-0.36,-0.28
2099,Alfredo Morales,27,1730,64,56.5,19.2,18,86,13,9,20,2,0.89,19,45,-26,-1.35,-1.01,18.9,38.9,-20.1,-1.05,-0.72
2100,Alvaro Morata,34,2098,62,61.3,23.3,25,77,11,9,20,0,1.85,30,14,+16,+0.69,+0.14,40.5,17.7,+22.7,+0.98,+0.87
2101,Jan Moravek,11,474,43,15.5,5.3,4,73,2,7,26,7,1.64,10,13,-3,-0.57,-0.05,8.9,11.0,-2.0,-0.38,+0.02
2102,Steven Moreira,17,1389,82,55.1,15.4,16,86,14,1,12,4,0.59,11,26,-15,-0.97,+0.70,16.2,21.8,-5.5,-0.36,+0.31
2103,Jeremy Morel,21,1806,86,71.7,20.1,20,89,19,1,17,1,1.67,23,18,+5,+0.25,-0.89,25.2,23.3,+1.8,+0.09,-0.55
2104,Alberto Moreno,18,1471,82,43.0,16.3,17,85,13,1,31,1,1.72,27,20,+7,+0.43,+0.11,26.7,19.5,+7.2,+0.44,-0.02
2106,Alex Moreno,31,2265,73,66.2,25.2,25,86,19,6,21,3,1.10,35,41,-6,-0.24,+0.23,36.4,34.6,+1.8,+0.07,+0.51
2107,Gerard Moreno,35,2744,78,80.2,30.5,33,81,20,2,28,0,1.63,55,38,+17,+0.56,+0.96,53.8,36.7,+17.1,+0.56,+0.53
2110,Wes Morgan,11,436,40,12.7,4.8,4,90,4,7,11,24,2.27,9,6,+3,+0.62,-0.07,10.6,4.8,+5.9,+1.21,+0.88
2111,Manu Morlanes,9,253,28,7.4,2.8,3,63,0,6,11,10,2.11,5,3,+2,+0.71,+0.37,4.5,4.7,-0.2,-0.07,-0.57
2113,Loren Moron,36,2031,56,59.4,22.6,21,81,9,15,21,1,1.11,31,40,-9,-0.40,-0.20,33.7,32.3,+1.4,+0.06,+0.40
2116,Victor Moses,12,420,35,12.3,4.7,4,76,0,8,14,2,2.25,14,1,+13,+2.79,+1.83,12.6,4.1,+8.5,+1.83,+1.22
2117,Lebo Mothiba,21,1047,50,43.1,11.6,12,76,3,9,15,1,1.33,17,21,-4,-0.34,-0.60,19.1,16.5,+2.6,+0.22,+0.26
2120,Mason Mount,37,2867,77,83.8,31.9,32,83,20,5,40,1,1.70,60,44,+16,+0.50,+0.67,56.7,31.8,+24.9,+0.78,-0.15
2121,Lucas Moura,35,2242,64,65.6,24.9,25,82,11,10,20,2,1.54,40,29,+11,+0.44,+0.21,32.9,32.5,+0.4,+0.02,+0.53
2123,Lys Mousset,30,1240,41,36.3,13.8,11,66,0,19,27,3,1.53,20,15,+5,+0.36,+0.57,17.0,20.0,-3.0,-0.22,-0.02
2125,Joao Moutinho,38,3108,82,90.9,34.5,34,89,30,4,22,0,1.55,46,36,+10,+0.29,0.00,47.6,35.0,+12.6,+0.37,-0.64
