,Player,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
2173,Rodri,30.4,5,0,0,59,43,1,2,41,70,0,0,0,280,77,35,68.8
2174,Rodrigo,28.1,5,1,1,23,41,14,30,3,10,1,0,0,74,48,77,38.4
2175,Kevin Rodrigues,5.4,1,0,0,5,6,0,12,8,11,0,0,0,31,6,13,31.6
2176,Alejandro Rodriguez,0.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0.0
2177,Angel Rodriguez,20.2,4,0,0,42,35,35,27,8,7,0,1,0,59,26,68,27.7
2178,Oscar Rodriguez Arnaiz,27.8,6,0,0,31,27,4,137,16,25,1,0,0,138,22,47,31.9
2179,James Rodriguez,12.6,2,0,0,7,15,5,84,4,8,1,0,0,73,3,7,30.0
2180,Ricardo Rodriguez,33.9,5,0,0,24,19,1,86,38,32,0,0,0,174,41,35,53.9
2181,Marko Rog,3.7,3,0,0,12,9,0,1,5,9,0,0,0,20,3,2,60.0
2182,Marko Rog,4.0,5,0,0,14,11,0,2,8,11,0,0,0,37,9,10,47.4
2184,Rogerio,29.7,9,1,0,28,27,2,108,37,38,0,0,0,152,26,46,36.1
2185,Marcos Rojo,2.4,2,0,0,3,1,0,3,6,3,0,0,1,8,3,1,75.0
2186,Diego Rolan,2.4,0,0,0,4,8,0,5,3,4,0,0,0,26,1,3,25.0
2187,Diego Rolan,3.3,1,0,0,6,9,0,5,1,4,0,0,0,15,8,7,53.3
2188,Rolando,8.9,2,0,0,8,2,0,0,11,7,0,0,0,44,19,18,51.4
2189,Esteban Rolon,11.6,9,0,0,28,17,0,10,16,29,0,0,0,74,9,26,25.7
2190,Filippo Romagna,16.4,2,0,0,8,14,0,3,19,9,0,1,0,74,35,26,57.4
2191,Alessio Romagnoli,31.6,6,1,0,20,14,4,2,37,19,0,0,1,127,71,33,68.3
2192,Alaixys Romao,35.1,8,1,0,89,81,0,6,58,71,0,0,0,243,61,55,52.6
2193,Cristian Romero,26.0,12,2,1,37,21,0,0,37,35,1,2,0,147,60,56,51.7
2194,Oriol Romeu,23.7,11,0,0,46,17,0,3,52,46,0,0,0,185,47,37,56.0
2195,Romulo,15.0,1,1,1,19,18,3,103,18,18,0,0,0,83,4,6,40.0
2196,Romulo,8.6,1,0,0,9,8,2,47,5,5,0,0,0,40,5,7,41.7
2197,Cristiano Ronaldo,29.9,3,0,0,19,50,29,58,6,7,0,0,0,67,32,41,43.8
2198,Facundo Roncaglia,6.7,5,1,1,6,6,0,2,10,10,0,0,0,55,16,9,64.0
2199,Facundo Roncaglia,11.9,3,0,0,16,8,0,6,20,22,0,0,0,55,19,16,54.3
2200,Salomon Rondon,28.9,1,0,0,22,26,20,14,5,3,1,0,0,108,146,232,38.6
2201,Valentin Rongier,35.8,3,0,0,44,29,3,104,33,54,0,0,0,243,35,46,43.2
2202,Marten de Roon,33.1,8,0,0,62,14,1,27,53,57,0,0,0,242,53,39,57.6
2203,Roberto Rosales,19.4,2,0,0,34,17,1,47,22,31,0,2,0,114,46,22,67.6
2204,Danny Rose,20.0,5,0,0,26,47,1,89,24,31,1,0,0,105,26,17,60.5
2205,Valentin Rosier,16.2,2,0,0,36,19,2,27,32,25,0,0,0,116,18,14,56.3
2206,Luca Rossettini,20.3,5,0,0,15,8,0,1,35,17,0,0,0,94,38,35,52.1
2208,Jerome Roussillon,27.3,4,0,0,20,40,0,108,31,29,0,0,0,151,24,29,45.3
2210,Nolan Roux,17.1,2,0,0,25,37,6,9,4,9,0,0,0,49,47,65,42.0
2211,Aaron Rowe,0.8,0,0,0,2,0,0,0,1,0,0,1,0,3,0,2,0.0
2212,Waldo Rubio,5.5,1,0,0,7,2,4,12,1,2,0,0,0,24,2,10,16.7
2214,Antonio Rudiger,31.9,7,0,0,28,15,1,1,32,16,0,0,0,206,81,71,53.3
2215,Sebastian Rudy,15.1,4,0,0,29,17,0,17,15,24,0,0,0,107,7,9,43.8
