,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
94,Jean Ambrose,ht HAI,DF,Bordeaux,Ligue 1,21.0,1993.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,5.0,1.0,0.0,0.0,0.0,0.0,0.18
95,Marco Amelia,it ITA,GK,Chelsea,Premier League,33.0,1982.0,0.0,,,,,0.0,,0.0,0.0,,7.0,,,,,,
96,Kelvin Amian,fr FRA,DF,Toulouse,Ligue 1,17.0,1998.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
97,Nadiem Amiri,de GER,"MF,FW",Hoffenheim,Bundesliga,18.0,1996.0,25.0,1460.0,58.0,47.7,16.2,16.0,,7.0,9.0,,0.0,1.24,21.0,20.0,1.0,0.06,0.96
98,Nordin Amrabat,ma MAR,"MF,FW",Watford,Premier League,28.0,1987.0,12.0,506.0,42.0,14.8,5.6,4.0,,1.0,8.0,,4.0,1.0,5.0,9.0,-4.0,-0.71,-0.53
99,Nordin Amrabat,ma MAR,"MF,FW",Málaga,La Liga,28.0,1987.0,13.0,1003.0,77.0,29.3,11.1,13.0,77.0,4.0,0.0,,0.0,1.31,8.0,6.0,2.0,0.18,0.14
100,Felipe Anderson,br BRA,"FW,MF",Lazio,Serie A,22.0,1993.0,35.0,2071.0,59.0,60.6,23.0,21.0,,11.0,14.0,,3.0,1.4,33.0,34.0,-1.0,-0.04,-0.11
101,Gaël Andonian,am ARM,DF,Marseille,Ligue 1,20.0,1995.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
102,Benjamin André,fr FRA,MF,Rennes,Ligue 1,24.0,1990.0,32.0,2632.0,82.0,77.0,29.2,30.0,,23.0,2.0,,5.0,1.59,44.0,38.0,6.0,0.21,1.12
104,Leon Andreasen,dk DEN,MF,Hannover 96,Bundesliga,32.0,1983.0,15.0,1080.0,72.0,35.3,12.0,13.0,,7.0,2.0,,1.0,0.93,13.0,18.0,-5.0,-0.42,0.77
105,Ionuț Andrei Radu,ro ROU,GK,Inter,Serie A,,,1.0,19.0,19.0,0.6,0.2,0.0,,,1.0,,0.0,,,,,,
106,Marco Andreolli,it ITA,DF,Inter,Serie A,29.0,1986.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
107,Marco Andreolli,it ITA,DF,Sevilla,La Liga,29.0,1986.0,7.0,553.0,79.0,16.2,6.1,7.0,79.0,5.0,0.0,,3.0,1.43,10.0,9.0,1.0,0.16,0.16
108,Tony Andreu,fr FRA,MF,Norwich City,Premier League,27.0,1988.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
109,Yoann Andreu,fr FRA,DF,Angers,Ligue 1,26.0,1989.0,31.0,2722.0,88.0,79.6,30.2,31.0,,29.0,0.0,,1.0,1.42,31.0,26.0,5.0,0.17,0.55
110,Yhoan Andzouana,cg CGO,"DF,MF",Monaco,Ligue 1,18.0,1996.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,
111,José Ángel Crespo,es ESP,FW,Aston Villa,Premier League,28.0,1987.0,1.0,90.0,90.0,2.6,1.0,1.0,,1.0,0.0,,3.0,0.0,0.0,1.0,-1.0,-1.0,0.3
112,José Ángel Crespo,es ESP,DF,Rayo Vallecano,La Liga,28.0,1987.0,9.0,715.0,79.0,20.9,7.9,9.0,79.0,6.0,0.0,,3.0,0.78,9.0,16.0,-7.0,-0.88,-0.42
113,Miguel Ángel Guerrero,es ESP,FW,Sporting Gijón,La Liga,25.0,1990.0,23.0,1087.0,47.0,31.8,12.1,13.0,67.0,0.0,10.0,21.0,9.0,1.0,15.0,20.0,-5.0,-0.41,0.24
114,Miguel Ángel,es ESP,DF,Getafe,La Liga,19.0,1996.0,3.0,200.0,67.0,5.8,2.2,2.0,63.0,0.0,1.0,74.0,2.0,2.33,3.0,2.0,1.0,0.45,1.32
115,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,La Liga,31.0,1984.0,0.0,,,,,0.0,,0.0,0.0,,38.0,,,,,,
116,Marcos Angeleri,ar ARG,DF,Málaga,La Liga,32.0,1983.0,13.0,1111.0,85.0,32.5,12.3,13.0,85.0,12.0,0.0,,2.0,0.62,6.0,12.0,-6.0,-0.49,-0.84
117,Angeliño,es ESP,"DF,MF",Manchester City,Premier League,18.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,
118,Gabriele Angella,it ITA,DF,Watford,Premier League,26.0,1989.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,
119,Benjamin Angoua,ci CIV,DF,Guingamp,Ligue 1,28.0,1986.0,18.0,1242.0,69.0,36.3,13.8,13.0,,13.0,5.0,,17.0,1.17,18.0,28.0,-10.0,-0.72,-0.77
120,Gaël Angoula,fr FRA,DF,Angers,Ligue 1,33.0,1982.0,13.0,1013.0,78.0,29.6,11.3,10.0,,10.0,3.0,,24.0,1.0,14.0,17.0,-3.0,-0.27,-0.45
121,Aníbal,pt POR,DF,Genoa,Serie A,19.0,1996.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,
122,Victor Anichebe,ng NGA,FW,West Brom,Premier League,27.0,1988.0,10.0,369.0,37.0,10.8,4.1,3.0,,1.0,7.0,,20.0,1.0,2.0,4.0,-2.0,-0.49,-0.13
123,Vurnon Anita,cw CUW,"MF,DF",Newcastle Utd,Premier League,26.0,1989.0,28.0,2101.0,75.0,61.4,23.3,24.0,,14.0,4.0,,1.0,0.96,24.0,37.0,-13.0,-0.56,-0.01
124,Silvio Anočič,hr CRO,DF,Roma,Serie A,17.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,
125,Cristian Ansaldi,ar ARG,"MF,DF",Genoa,Serie A,28.0,1986.0,24.0,2010.0,84.0,58.8,22.3,23.0,,20.0,1.0,,1.0,1.25,27.0,27.0,0.0,0.0,0.19
126,Ion Ansotegi,es ESP,DF,Eibar,La Liga,33.0,1982.0,8.0,542.0,68.0,15.8,6.0,6.0,90.0,6.0,2.0,1.0,7.0,1.0,8.0,13.0,-5.0,-0.83,-0.61
127,Ion Ansotegi,es ESP,DF,Real Sociedad,La Liga,33.0,1982.0,0.0,,,,,0.0,,0.0,0.0,,8.0,,,,,,
128,Luca Antei,it ITA,DF,Sassuolo,Serie A,23.0,1992.0,5.0,341.0,68.0,10.0,3.8,4.0,,3.0,1.0,,13.0,1.2,4.0,5.0,-1.0,-0.26,-0.56
130,Waldemar Anton,de GER,"DF,MF",Hannover 96,Bundesliga,19.0,1996.0,8.0,583.0,73.0,19.1,6.5,6.0,,5.0,2.0,,13.0,1.38,9.0,10.0,-1.0,-0.15,0.94
131,Luca Antonelli,it ITA,DF,Milan,Serie A,28.0,1987.0,28.0,2338.0,84.0,68.4,26.0,25.0,,25.0,3.0,,3.0,1.54,33.0,26.0,7.0,0.27,0.35
132,Michail Antonio,jm JAM,"MF,FW",West Ham,Premier League,25.0,1990.0,26.0,2057.0,79.0,60.1,22.9,23.0,,15.0,3.0,,7.0,1.69,38.0,29.0,9.0,0.39,0.06
133,José Antonio Reyes,es ESP,MF,Sevilla,La Liga,31.0,1983.0,24.0,1182.0,49.0,34.6,13.1,14.0,68.0,2.0,10.0,23.0,8.0,1.63,14.0,17.0,-3.0,-0.23,-0.39
