,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
483,Hugo Duro,Valencia,2.8,42,38,4,0,0,0,1,0,0,0,0,0,26,0,0
484,Jean-Kevin Duverne,Nantes,1.2,57,40,17,0,0,0,4,17,0,0,0,0,38,0,3
485,Paulo Dybala,Roma,1.2,62,50,12,1,0,1,10,4,6,3,1,1,46,0,1
486,Aron Donnum,Toulouse,1.6,59,51,8,2,0,1,5,6,0,0,0,0,47,0,2
487,Ederson,Manchester City,2.0,63,57,6,4,0,0,0,0,0,0,0,0,57,0,0
488,Ederson,Atalanta,1.9,99,97,2,2,0,6,4,0,0,0,0,0,86,0,0
489,George Edmundson,Ipswich Town,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
490,Odsonne Edouard,Crystal Palace,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
491,Samuel Edozie,Southampton,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2
492,Johannes Eggestein,St. Pauli,1.0,38,38,0,0,0,1,2,0,0,0,0,0,28,0,4
494,Maximilian Eggestein,Freiburg,0.8,24,23,0,0,0,0,0,0,0,0,0,0,17,1,2
495,Kingsley Ehizibue,Udinese,2.0,52,36,15,0,0,0,1,15,0,0,0,0,39,1,1
496,Chidera Ejuke,Sevilla,1.2,63,53,10,0,0,1,7,0,10,6,0,0,48,0,2
497,Jeff Ekhator,Genoa,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
498,Hugo Ekitike,Eint Frankfurt,0.8,17,15,2,0,0,0,2,0,0,0,0,0,12,0,0
499,Jurgen Ekkelenkamp,Udinese,0.4,7,6,1,0,0,0,0,1,0,0,0,0,4,0,0
500,Jacques Ekomie,Angers,1.8,69,40,28,0,0,0,4,28,0,0,0,0,48,1,5
501,Emmanuel Ekong,Empoli,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
502,Caleb Ekuban,Genoa,0.3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
503,Anthony Elanga,Nott'ham Forest,1.6,59,48,11,2,0,0,10,0,9,4,5,0,45,0,1
504,Mikael Ellertsson,Venezia,1.7,27,27,0,0,0,0,0,0,0,0,0,0,22,0,0
505,Harvey Elliott,Liverpool,0.1,14,12,1,0,0,0,0,1,0,0,0,0,12,1,0
506,Aritz Elustondo,Real Sociedad,2.0,138,133,5,5,0,0,0,0,0,0,0,0,121,0,1
507,Nico Elvedi,Gladbach,1.0,57,55,2,0,0,0,0,0,0,0,0,0,50,0,0
508,Adri Embarba,Rayo Vallecano,2.1,66,50,14,5,0,0,16,1,8,5,3,0,36,2,2
509,Breel Embolo,Monaco,1.7,34,31,2,1,2,0,1,0,0,0,0,0,21,1,1
510,Emanuel Emegha,Strasbourg,1.7,19,15,4,0,0,0,0,0,0,0,0,0,14,0,1
511,Emerson,Milan,0.3,27,25,2,0,0,0,1,2,0,0,0,0,22,0,1
512,Julio Enciso,Brighton,0.1,8,6,2,1,0,0,4,0,1,0,1,0,4,0,0
513,Wataru Endo,Liverpool,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
514,Endrick,Real Madrid,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
515,Yannik Engelhardt,Como,0.8,25,25,0,0,0,0,0,0,0,0,0,0,25,0,0
516,Arne Engels,Augsburg,0.9,27,24,3,0,0,0,4,0,2,2,0,0,19,0,1
517,Martin Erlic,Bologna,1.2,85,85,0,0,0,1,0,0,0,0,0,0,78,0,0
518,Patrick Erras,Holstein Kiel,1.0,53,47,6,2,0,0,0,0,0,0,0,0,50,0,0
520,Alfonso Espino,Rayo Vallecano,3.0,111,81,27,4,0,0,10,23,0,0,0,0,64,3,2
521,Sebastiano Esposito,Empoli,1.1,24,23,1,1,0,0,1,0,0,0,0,0,16,0,2
522,Samuel Essende,Augsburg,1.0,14,12,2,0,0,0,0,0,0,0,0,0,11,0,0
523,Nahuel Estevez,Parma,1.8,55,50,5,2,0,0,3,0,3,0,1,0,44,0,1
524,Evanilson,Bournemouth,0.8,11,10,1,0,0,0,0,0,0,0,0,0,6,0,3
525,Jonny Evans,Manchester Utd,0.1,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0
