,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
39,Kevin Akpoguma,NG,DF,Hoffenheim,Bundesliga,29,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
40,Raul Albiol,ES,DF,Villarreal,La Liga,38,1985,3,2,186,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Carlos Alcaraz,AR,MF,Southampton,Premier League,21,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48
42,Omar Alderete,PY,DF,Getafe,La Liga,27,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,2,7,0,0.00,0.00,0.00,0.00,0.00,0.03,0.31,0.34,0.03,0.34
43,Carles Alena,ES,MF,Getafe,La Liga,26,1998,2,1,125,1.4,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,3,3,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42
44,Trent Alexander-Arnold,EN,DF,Liverpool,Premier League,25,1998,2,2,147,1.6,0,0,0,0,0,0,0,0,0.2,0.2,1.2,1.4,5,13,7,0.00,0.00,0.00,0.00,0.00,0.10,0.75,0.85,0.10,0.85
45,Alfon,ES,FW,Celta Vigo,La Liga,25,1999,1,1,69,0.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,2,2,8,0.00,0.00,0.00,0.00,0.00,0.66,0.07,0.72,0.66,0.72
46,Mohamed Ali Cho,FR,FW,Nice,Ligue 1,20,2004,2,2,141,1.6,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,3,3,12,0.64,0.00,0.64,0.64,0.64,0.17,0.26,0.43,0.17,0.43
47,Faride Alidou,DE,"MF,FW",Hellas Verona,Serie A,23,2001,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Alisson,BR,GK,Liverpool,Premier League,31,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Domingos Andre Ribeiro Almeida,PT,"FW,MF",Valencia,La Liga,24,2000,3,2,187,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,15,11,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
