,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
225,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,Premier League,32.0,1988.0,28.6,939.0,1153.0,81.4,14844.0,4412.0,493.0,557.0,88.5,364.0,426.0,85.4,62.0,116.0,53.4,1.0,0.9,0.9,0.1,11.0,50.0,14.0,6.0,82.0
226,Toma Bašić,hr CRO,MF,Bordeaux,Ligue 1,23.0,1996.0,28.9,1048.0,1289.0,81.3,18608.0,4548.0,450.0,506.0,88.9,452.0,521.0,86.8,111.0,193.0,57.5,1.0,2.5,2.2,-1.5,26.0,78.0,18.0,3.0,111.0
227,Álvaro Bastida,es ESP,MF,Cádiz,La Liga,16.0,2004.0,0.4,4.0,8.0,50.0,57.0,6.0,2.0,3.0,66.7,0.0,0.0,,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Alessandro Bastoni,it ITA,DF,Inter,Serie A,21.0,1999.0,32.5,2065.0,2306.0,89.5,37276.0,10450.0,910.0,952.0,95.6,899.0,961.0,93.5,226.0,315.0,71.7,3.0,1.5,1.4,1.5,12.0,150.0,16.0,4.0,146.0
229,Simone Bastoni,it ITA,DF,Spezia,Serie A,23.0,1996.0,16.9,794.0,1068.0,74.3,13759.0,4837.0,395.0,446.0,88.6,293.0,379.0,77.3,89.0,168.0,53.0,7.0,3.1,2.5,3.9,29.0,69.0,27.0,10.0,85.0
230,Bastos,ao ANG,DF,Lazio,Serie A,29.0,1991.0,0.7,38.0,41.0,92.7,554.0,152.0,21.0,22.0,95.5,13.0,15.0,86.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
231,Michy Batshuayi,be BEL,FW,Crystal Palace,Premier League,26.0,1993.0,8.1,122.0,174.0,70.1,1523.0,293.0,81.0,99.0,81.8,30.0,37.0,81.1,3.0,5.0,60.0,1.0,1.6,1.0,-0.6,9.0,8.0,5.0,0.0,13.0
232,Rodrigo Battaglia,ar ARG,MF,Alavés,La Liga,29.0,1991.0,27.7,870.0,1039.0,83.7,14718.0,3574.0,396.0,450.0,88.0,362.0,406.0,89.2,77.0,117.0,65.8,0.0,0.2,0.4,-0.2,3.0,59.0,4.0,0.0,73.0
234,Cristian Battocchio,it ITA,MF,Brest,Ligue 1,28.0,1992.0,3.9,171.0,209.0,81.8,2823.0,838.0,94.0,102.0,92.2,62.0,73.0,84.9,14.0,31.0,45.2,0.0,0.3,0.4,-0.3,5.0,16.0,0.0,0.0,20.0
235,Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,30.0,1990.0,31.0,1049.0,1349.0,77.8,24414.0,16656.0,298.0,298.0,100.0,486.0,495.0,98.2,246.0,535.0,46.0,0.0,0.0,0.1,0.0,0.0,15.0,0.0,0.0,2.0
236,Julian Baumgartlinger,at AUT,MF,Leverkusen,Bundesliga,32.0,1988.0,11.9,557.0,651.0,85.6,9471.0,2357.0,247.0,280.0,88.2,215.0,241.0,89.2,63.0,79.0,79.7,0.0,0.2,0.6,-0.2,5.0,42.0,5.0,1.0,51.0
237,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,Bundesliga,20.0,1999.0,26.3,699.0,951.0,73.5,10511.0,2835.0,395.0,492.0,80.3,220.0,281.0,78.3,51.0,89.0,57.3,3.0,3.5,2.7,-0.5,34.0,65.0,29.0,3.0,110.0
238,Jon Bautista,es ESP,FW,Real Sociedad,La Liga,25.0,1995.0,4.1,56.0,92.0,60.9,748.0,122.0,25.0,43.0,58.1,21.0,29.0,72.4,2.0,3.0,66.7,1.0,0.3,0.1,0.7,6.0,4.0,1.0,1.0,3.0
239,Paul Baysse,fr FRA,DF,Bordeaux,Ligue 1,32.0,1988.0,29.0,1502.0,1715.0,87.6,29524.0,10632.0,504.0,546.0,92.3,813.0,877.0,92.7,171.0,255.0,67.1,2.0,0.6,0.4,1.4,8.0,76.0,4.0,1.0,88.0
240,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,Bundesliga,23.0,1996.0,0.4,5.0,12.0,41.7,70.0,21.0,3.0,5.0,60.0,2.0,3.0,66.7,0.0,2.0,0.0,1.0,0.7,0.5,0.3,1.0,0.0,0.0,0.0,0.0
241,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,Bundesliga,26.0,1994.0,24.4,466.0,630.0,74.0,6190.0,1385.0,293.0,358.0,81.8,115.0,164.0,70.1,24.0,37.0,64.9,7.0,5.0,2.8,2.0,39.0,28.0,28.0,13.0,52.0
