,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
2039,Suat Serdar,Hellas Verona,5.8,10,1.74,5,0,3,0,2,0,0,0.00,0,0,0,0,0,0
2040,Sergi,Leganés,14.5,6,0.41,6,0,0,0,0,0,2,0.14,2,0,0,0,0,0
2041,Nicolas Serrano,Athletic Club,1.1,2,1.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2042,Benjamin Sesko,RB Leipzig,8.8,11,1.25,8,0,2,1,0,0,3,0.34,1,0,1,1,0,0
2043,Ryan Sessegnon,Fulham,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2044,Stephan El Shaarawy,Roma,4.9,15,3.05,12,0,0,1,2,0,3,0.61,3,0,0,0,0,0
2045,Luke Shaw,Manchester Utd,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2046,Alen Sherri,Cagliari,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2047,Eldor Shomurodov,Roma,1.3,5,3.95,4,0,0,1,0,0,2,1.58,2,0,0,0,0,0
2048,Djibril Sidibe,Toulouse,9.1,17,1.86,17,0,0,0,0,0,4,0.44,4,0,0,0,0,0
2049,Armindo Sieb,Mainz 05,4.3,11,2.58,6,0,2,2,1,0,1,0.23,1,0,0,0,0,0
2050,Vincent Sierro,Toulouse,12.1,35,2.89,21,13,0,0,0,1,2,0.17,2,0,0,0,0,0
2051,Tim Siersleben,Heidenheim,0.6,1,1.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2052,Kiliann Sildillia,Freiburg,0.6,2,3.60,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2054,Andre Silva,RB Leipzig,0.8,5,6.08,3,0,0,1,1,0,1,1.22,1,0,0,0,0,0
2055,Bernardo Silva,Manchester City,11.3,49,4.34,44,1,4,0,0,0,5,0.44,5,0,0,0,0,0
2056,Caio Henrique Oliveira Silva,Monaco,6.5,21,3.25,13,7,1,0,0,0,2,0.31,1,1,0,0,0,0
2057,Fabio Silva,Las Palmas,9.0,13,1.45,9,0,1,2,0,1,1,0.11,0,0,0,1,0,0
2058,Jota Silva,Nott'ham Forest,3.8,13,3.43,9,0,1,0,3,0,2,0.53,1,0,0,0,1,0
2059,Eric da Silva Moreira,Nott'ham Forest,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2060,Rui Silva,Betis,15.0,5,0.33,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2061,Abdallah Sima,Brest,4.0,7,1.76,3,0,0,3,1,0,1,0.25,1,0,0,0,0,0
2062,Mohamed Simakan,RB Leipzig,0.6,3,5.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2063,Giovanni Simeone,Napoli,2.5,9,3.55,6,0,1,1,1,0,1,0.39,0,0,0,1,0,0
2064,Giuliano Simeone,Atlético Madrid,4.7,9,1.91,8,0,1,0,0,0,2,0.42,2,0,0,0,0,0
2065,Moses Simon,Nantes,11.1,43,3.87,20,8,9,3,2,1,5,0.45,4,0,0,1,0,0
2066,Xavi Simons,RB Leipzig,6.8,28,4.10,23,2,0,1,2,0,3,0.44,2,0,0,1,0,0
2067,Jahmai Simpson-Pusey,Manchester City,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2068,Danel Sinani,St. Pauli,1.4,3,2.16,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0
2069,Lassine Sinayoko,Auxerre,9.7,43,4.44,30,0,4,5,4,0,8,0.83,3,0,1,1,3,0
2070,Wilfried Singo,Monaco,9.2,5,0.54,4,0,0,0,0,1,2,0.22,1,0,0,0,0,1
2071,Luis Sinisterra,Bournemouth,2.3,13,5.57,10,0,1,2,0,0,1,0.43,1,0,0,0,0,0
2072,Daley Sinkgraven,Las Palmas,1.0,2,1.98,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2073,Jailson Siqueira,Celta Vigo,5.0,7,1.40,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0
2074,Ibrahim Sissoko,Saint-Étienne,8.5,20,2.36,9,0,1,4,4,2,1,0.12,1,0,0,0,0,0
2075,Ibrahima Sissoko,Bochum,10.2,26,2.55,20,0,1,0,2,3,2,0.20,1,0,0,0,1,0
