,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
130,Sylvain Armand,FRA,DF,Rennes,fr Ligue 1,34.0,1980.0,33.2,1.0,,4.0,,,0.12,,0.25,,0.0,1.0
131,Pablo Armero,COL,MF,Udinese,it Serie A,28.0,1986.0,4.6,1.0,,1.0,,,0.22,,1.0,,0.0,0.0
132,Marko Arnautović,AUT,"MF,FW",Stoke City,eng Premier League,26.0,1989.0,31.2,11.0,,22.0,,,0.71,,0.36,,3.0,3.0
133,Maximilian Arnold,DEU,MF,Wolfsburg,de Bundesliga,21.0,1994.0,22.7,3.0,,11.0,,,0.49,,0.27,,0.0,0.0
134,Alejandro Arribas,ESP,DF,La Coruña,es La Liga,26.0,1989.0,30.4,2.0,12.0,4.0,33.3,0.4,0.13,0.17,0.5,,0.0,0.0
135,Mikel Arruabarrena,ESP,FW,Eibar,es La Liga,32.0,1983.0,0.7,1.0,1.0,1.0,100.0,1.45,1.45,1.0,1.0,,0.0,0.0
136,Ahmet Arslan,TUR,MF,Hamburger SV,de Bundesliga,21.0,1994.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
137,Harry Arter,IRL,MF,Bournemouth,eng Premier League,25.0,1989.0,18.5,1.0,,7.0,,,0.38,,0.14,,0.0,0.0
138,Mikel Arteta,ESP,MF,Arsenal,eng Premier League,33.0,1982.0,1.9,0.0,,1.0,,,0.53,,0.0,,0.0,0.0
139,Aythami Artiles,ESP,DF,Las Palmas,es La Liga,29.0,1986.0,29.3,0.0,9.0,2.0,22.2,0.31,0.07,0.0,0.0,,0.0,0.0
140,Kwadwo Asamoah,GHA,MF,Juventus,it Serie A,26.0,1988.0,6.3,0.0,,3.0,,,0.47,,0.0,,0.0,0.0
141,Carlos Ascues,PER,"DF,MF",Wolfsburg,de Bundesliga,23.0,1992.0,0.1,0.0,,0.0,,,0.0,,,,0.0,0.0
142,Sergio Asenjo,ESP,GK,Villarreal,es La Liga,26.0,1989.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
143,Marco Asensio,ESP,"MF,FW",Espanyol,es La Liga,19.0,1996.0,31.4,4.0,60.0,22.0,36.7,1.91,0.7,0.07,0.18,,0.0,0.0
144,Iago Aspas,ESP,"FW,MF",Celta Vigo,es La Liga,27.0,1987.0,29.5,13.0,80.0,34.0,42.5,2.71,1.15,0.15,0.35,,1.0,1.0
145,Benoît Assou-Ekotto,CMR,DF,Saint-Étienne,fr Ligue 1,31.0,1984.0,18.9,0.0,,1.0,,,0.05,,0.0,,0.0,0.0
146,Davide Astori,ITA,DF,Fiorentina,it Serie A,28.0,1987.0,32.2,0.0,,2.0,,,0.06,,0.0,,0.0,0.0
147,Christian Atsu,GHA,MF,Málaga,es La Liga,23.0,1992.0,4.4,2.0,9.0,6.0,66.7,2.07,1.38,0.22,0.33,,0.0,0.0
148,Pierre-Emerick Aubameyang,GAB,FW,Dortmund,de Bundesliga,26.0,1989.0,27.4,25.0,,54.0,,,1.97,,0.41,,3.0,4.0
149,Johan Audel,MTQ,"MF,FW",Nantes,fr Ligue 1,31.0,1983.0,14.2,2.0,,11.0,,,0.77,,0.18,,0.0,0.0
150,Jean-Kévin Augustin,FRA,FW,Paris S-G,fr Ligue 1,18.0,1997.0,4.7,1.0,,5.0,,,1.06,,0.2,,0.0,0.0
151,Olivier Auriac,FRA,MF,Angers,fr Ligue 1,31.0,1983.0,4.5,0.0,,1.0,,,0.22,,0.0,,0.0,0.0
152,Serge Aurier,CIV,DF,Paris S-G,fr Ligue 1,22.0,1992.0,21.0,2.0,,4.0,,,0.19,,0.5,,0.0,0.0
153,Charlie Austin,GBR,FW,Southampton,eng Premier League,26.0,1989.0,2.3,1.0,,2.0,,,0.85,,0.5,,0.0,0.0
154,Danilo Avelar,BRA,MF,Torino,it Serie A,26.0,1989.0,3.8,0.0,,0.0,,,0.0,,,,0.0,0.0
156,Thomas Ayasse,FRA,"MF,DF",Troyes,fr Ligue 1,28.0,1987.0,11.3,1.0,,4.0,,,0.36,,0.25,,0.0,0.0
157,André Ayew,GHA,"MF,FW",Swansea City,eng Premier League,25.0,1989.0,32.5,12.0,,25.0,,,0.77,,0.48,,0.0,0.0
158,Jordan Ayew,GHA,FW,Aston Villa,eng Premier League,23.0,1991.0,26.1,7.0,,21.0,,,0.8,,0.29,,1.0,1.0
159,Kaan Ayhan,TUR,"DF,MF",Schalke 04,de Bundesliga,20.0,1994.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
160,Kaan Ayhan,TUR,MF,Eint Frankfurt,de Bundesliga,20.0,1994.0,0.9,0.0,,0.0,,,0.0,,,,0.0,0.0
161,Floyd Ayité,TGO,"FW,MF",Bastia,fr Ligue 1,26.0,1988.0,29.2,8.0,,19.0,,,0.65,,0.37,,1.0,1.0
162,Karim Azamoum,FRA,"MF,FW",Troyes,fr Ligue 1,25.0,1990.0,8.4,2.0,,6.0,,,0.71,,0.33,,0.0,0.0
163,César Azpilicueta,ESP,DF,Chelsea,eng Premier League,25.0,1989.0,35.5,2.0,,5.0,,,0.14,,0.4,,0.0,0.0
164,Ismail Azzaoui,BEL,FW,Wolfsburg,de Bundesliga,17.0,1998.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
165,Ludovic Baal,GUF,"MF,DF",Rennes,fr Ligue 1,29.0,1986.0,16.9,0.0,,0.0,,,0.0,,,,0.0,0.0
166,Khouma Babacar,SEN,FW,Fiorentina,it Serie A,22.0,1993.0,8.9,5.0,,11.0,,,1.23,,0.36,,1.0,1.0
167,Jean-Sylvain Babin,MTQ,DF,Granada,es La Liga,28.0,1986.0,24.8,3.0,13.0,5.0,38.5,0.52,0.2,0.23,0.6,,0.0,0.0
168,Maxime Baca,FRA,DF,Guingamp,fr Ligue 1,32.0,1983.0,2.0,0.0,,0.0,,,0.0,,,,0.0,0.0
169,Carlos Bacca,COL,FW,Milan,it Serie A,28.0,1986.0,35.1,18.0,,37.0,,,1.06,,0.43,,2.0,2.0
170,Leandro Bacuna,CUW,"DF,MF",Aston Villa,eng Premier League,23.0,1991.0,26.9,1.0,,9.0,,,0.34,,0.11,,0.0,0.0
171,Milan Badelj,HRV,MF,Fiorentina,it Serie A,26.0,1989.0,23.7,1.0,,4.0,,,0.17,,0.25,,0.0,0.0
172,Holger Badstuber,DEU,DF,Bayern Munich,de Bundesliga,26.0,1989.0,5.2,0.0,,1.0,,,0.19,,0.0,,0.0,0.0
173,Raúl Baena,ESP,MF,Rayo Vallecano,es La Liga,26.0,1989.0,20.4,1.0,10.0,3.0,30.0,0.49,0.15,0.1,0.33,,0.0,0.0
174,Jean-Christophe Bahebeck,FRA,"MF,FW",Saint-Étienne,fr Ligue 1,22.0,1993.0,9.3,1.0,,7.0,,,0.75,,0.14,,0.0,0.0
175,Farès Bahlouli,FRA,MF,Monaco,fr Ligue 1,20.0,1995.0,2.0,1.0,,2.0,,,1.0,,0.5,,0.0,0.0
176,Nabil Bahoui,SWE,MF,Hamburger SV,de Bundesliga,24.0,1991.0,2.4,0.0,,1.0,,,0.42,,0.0,,0.0,0.0
177,Mike-Steven Bähre,DEU,MF,Hannover 96,de Bundesliga,19.0,1995.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
178,Daniel Baier,DEU,MF,Augsburg,de Bundesliga,31.0,1984.0,25.8,1.0,,6.0,,,0.23,,0.17,,0.0,0.0
179,Eric Bailly,CIV,DF,Villarreal,es La Liga,21.0,1994.0,22.4,0.0,4.0,1.0,25.0,0.18,0.04,0.0,0.0,,0.0,0.0
180,Leighton Baines,GBR,DF,Everton,eng Premier League,30.0,1984.0,16.4,2.0,,3.0,,,0.18,,0.33,,1.0,1.0
182,Cédric Bakambu,COD,FW,Villarreal,es La Liga,24.0,1991.0,20.7,12.0,48.0,28.0,58.3,2.32,1.36,0.25,0.43,,0.0,0.0
183,Djamel Bakar,COM,FW,Montpellier,fr Ligue 1,26.0,1989.0,2.3,0.0,,3.0,,,1.33,,0.0,,0.0,0.0
184,Tiemoué Bakayoko,FRA,MF,Monaco,fr Ligue 1,20.0,1994.0,15.2,1.0,,5.0,,,0.33,,0.2,,0.0,0.0
185,Zakaria Bakkali,BEL,"MF,FW",Valencia,es La Liga,19.0,1996.0,6.3,1.0,13.0,2.0,15.4,2.07,0.32,0.08,0.5,,0.0,0.0
