,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
244,Bernabé Barragán,ESP,GK,Atlético Madrid,es La Liga,23.0,1993.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,
245,David Barral,ESP,FW,Granada,es La Liga,33.0,1983.0,8.0,316.0,40.0,9.2,3.5,2.0,90.0,2.0,6.0,23.0,1.0,0.38,2.0,11.0,-9.0,-2.56,-1.32
246,Antonio Barreca,ITA,DF,Torino,it Serie A,21.0,1995.0,28.0,2362.0,84.0,69.1,26.2,25.0,,25.0,3.0,,9.0,1.54,49.0,45.0,4.0,0.15,0.07
247,Manu Barreiro,ESP,FW,Alavés,es La Liga,30.0,1986.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
248,Édgar Barreto,PRY,MF,Sampdoria,it Serie A,32.0,1984.0,32.0,2679.0,84.0,78.3,29.8,32.0,,18.0,0.0,,3.0,1.25,37.0,48.0,-11.0,-0.37,-0.98
249,Diego Barrios,ESP,GK,Leganés,es La Liga,22.0,1994.0,1.0,62.0,62.0,1.8,0.7,0.0,,0.0,1.0,62.0,4.0,1.0,0.0,1.0,-1.0,-1.45,-0.97
250,Modou Barrow,GMB,"MF,FW",Swansea City,eng Premier League,23.0,1992.0,18.0,1145.0,64.0,33.5,12.7,12.0,,3.0,6.0,,1.0,0.67,14.0,23.0,-9.0,-0.71,-0.07
251,Gareth Barry,GBR,MF,Everton,eng Premier League,35.0,1981.0,33.0,2108.0,64.0,61.6,23.4,23.0,,11.0,10.0,,3.0,1.61,34.0,28.0,6.0,0.26,-0.57
252,Fin Bartels,DEU,"FW,MF",Werder Bremen,de Bundesliga,29.0,1987.0,31.0,2219.0,72.0,72.5,24.7,23.0,,14.0,8.0,,0.0,1.35,52.0,45.0,7.0,0.28,1.35
253,Maxime Barthelmé,FRA,"FW,MF",Lorient,fr Ligue 1,27.0,1988.0,9.0,327.0,36.0,9.6,3.6,3.0,,1.0,6.0,,6.0,0.78,1.0,5.0,-4.0,-1.1,-0.46
254,Joey Barton,GBR,MF,Burnley,eng Premier League,33.0,1982.0,14.0,1105.0,79.0,32.3,12.3,12.0,,11.0,2.0,,0.0,0.93,11.0,16.0,-5.0,-0.41,0.02
