,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
1514,Saul Niguez,Sevilla,3.6,9,6,3,3,3,1,4,25.0,3,6,1,5,2,11,4,0
1515,Eybi Nije,Torino,0.3,2,0,2,0,0,0,1,0.0,1,0,0,0,0,2,0,0
1516,Justin Njinmah,Werder Bremen,1.5,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,0,0
1517,Eddie Nketiah,Crystal Palace,3.5,2,1,2,0,0,0,1,0.0,1,3,0,3,1,3,3,0
1518,Niels Nkounkou,Eint Frankfurt,1.9,1,1,1,0,0,0,1,0.0,1,2,1,1,3,4,2,0
1519,Christopher Nkunku,Chelsea,1.5,3,3,0,1,2,2,2,100.0,0,3,1,2,1,4,1,0
1520,Felix Nmecha,Dortmund,2.1,3,3,0,2,1,2,3,66.7,1,1,0,1,2,5,5,0
1521,Arnaud Nordin,Montpellier,5.5,9,5,2,7,0,5,8,62.5,3,5,0,5,2,11,2,0
1522,Brooke Norton-Cuffy,Genoa,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1523,Tijjani Noslin,Lazio,2.6,1,1,0,0,1,0,3,0.0,3,5,0,5,0,1,4,0
1524,Hugo Novoa,Alavés,2.5,8,5,4,3,1,5,5,100.0,0,2,1,1,0,8,6,0
1525,Randy Nteka,Rayo Vallecano,3.2,4,2,0,4,0,2,3,66.7,1,3,1,2,1,5,3,0
1526,Ernest Nuamah,Lyon,1.5,2,1,1,0,1,1,2,50.0,1,0,0,0,1,3,2,0
1527,Alexander Nubel,Stuttgart,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
1528,Matheus Nunes,Manchester City,0.3,0,0,0,0,0,0,0,0.0,0,2,1,1,0,0,1,0
1529,Darwin Nunez,Liverpool,1.5,6,4,3,1,2,2,3,66.7,1,0,0,0,0,6,3,0
1530,Unai Nunez,Athletic Club,2.0,1,1,0,1,0,0,1,0.0,1,2,2,0,11,12,9,1
1531,Antonio Nusa,RB Leipzig,3.0,6,3,4,1,1,3,5,60.0,2,6,0,6,2,8,5,0
