,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
171,Benoit Badiashile,Monaco,31.9,32,1.00,28,0,0,3,0,1,4,0.13,4,0,0,0,0,0
172,Alex Baena,Villarreal,1.5,3,1.97,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
173,Miguel Baeza,Celta Vigo,6.0,15,2.49,8,2,1,2,1,1,1,0.17,0,0,0,1,0,0
174,Stephane Bahoken,Angers,18.0,22,1.23,15,0,4,2,1,0,3,0.17,2,0,1,0,0,0
175,Leon Bailey,Leverkusen,23.8,100,4.20,57,16,12,7,8,0,13,0.55,7,4,1,1,0,0
176,Eric Bailly,Manchester Utd,10.2,4,0.39,4,0,0,0,0,0,1,0.10,1,0,0,0,0,0
177,Stefan Bajic,Saint-Étienne,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
178,Tiemoue Bakayoko,Napoli,21.8,34,1.56,27,0,0,2,3,2,4,0.18,2,0,0,0,1,1
179,Mitchel Bakker,Paris S-G,18.8,38,2.02,37,1,0,0,0,0,4,0.21,3,1,0,0,0,0
180,Ridle Baku,Wolfsburg,29.8,95,3.19,76,3,5,4,6,1,15,0.50,14,0,1,0,0,0
182,Ridle Baku,Mainz 05,2.0,2,1.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
183,Dilane Bakwa,Bordeaux,0.6,5,7.89,1,0,0,1,3,0,1,1.58,0,0,0,1,0,0
184,Fabian Balbuena,West Ham,13.3,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
185,Keita Balde,Sampdoria,13.3,45,3.38,23,0,6,7,8,1,6,0.45,1,0,1,1,3,0
186,George Baldock,Sheffield Utd,31.0,35,1.13,30,1,1,3,0,0,2,0.06,1,0,0,1,0,0
187,Gareth Bale,Tottenham,10.2,47,4.59,26,7,9,3,2,0,6,0.59,3,1,0,2,0,0
188,Mikel Balenziaga,Athletic Club,18.8,16,0.85,12,2,0,0,1,1,2,0.11,2,0,0,0,0,0
189,Leonardo Balerdi,Marseille,18.2,9,0.50,6,1,1,0,0,1,1,0.06,1,0,0,0,0,0
190,Fode Ballo-Toure,Monaco,7.4,15,2.04,13,0,1,0,1,0,4,0.54,3,0,0,0,1,0
191,Botond Balogh,Parma,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
192,Abdoulaye Bamba,Angers,15.0,21,1.40,17,2,1,0,0,1,1,0.07,0,1,0,0,0,0
193,Jonathan Bamba,Lille,33.2,121,3.65,77,24,6,5,7,2,16,0.48,11,2,1,1,1,0
194,Robson Bambu,Nice,11.6,3,0.26,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
195,Patrick Bamford,Leeds United,33.9,65,1.92,46,0,5,10,4,0,16,0.47,9,0,2,2,3,0
196,Mattia Bani,Genoa,10.2,6,0.59,5,0,0,0,0,1,1,0.10,1,0,0,0,0,0
197,Mattia Bani,Parma,12.7,6,0.47,5,0,0,1,0,0,1,0.08,0,0,0,1,0,0
198,Simon Banza,Lens,15.2,32,2.10,23,0,1,4,3,1,5,0.33,4,0,0,0,1,0
199,Antonin Barak,Hellas Verona,30.7,56,1.84,50,0,4,1,1,0,7,0.23,5,0,2,0,0,0
200,Federico Barba,Benevento,29.5,29,0.98,23,2,0,3,1,0,4,0.14,3,0,0,1,0,0
201,Danilo Barbosa,Nice,2.8,1,0.36,1,0,0,0,0,0,1,0.36,1,0,0,0,0,0
202,Barcia,Granada,1.0,1,1.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
203,Melvin Bard,Lyon,4.8,9,1.87,8,0,0,0,1,0,1,0.21,0,0,0,0,1,0
204,Enis Bardhi,Levante,18.7,55,2.94,43,6,3,2,1,0,5,0.27,4,1,0,0,0,0
205,Phil Bardsley,Burnley,3.0,4,1.31,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0
206,Nicolo Barella,Inter,32.2,105,3.26,97,1,2,3,2,0,14,0.44,13,0,0,1,0,0
208,Philipp Bargfrede,Werder Bremen,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
209,Kike Barja,Osasuna,15.9,37,2.33,27,1,5,3,1,0,5,0.31,4,0,0,0,1,0
210,Ross Barkley,Aston Villa,17.0,76,4.47,44,19,8,2,2,1,5,0.29,2,1,0,1,1,0
211,Ross Barkley,Chelsea,0.5,2,4.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
212,Aymen Barkok,Eint Frankfurt,10.9,41,3.78,27,8,4,0,2,0,7,0.65,4,1,2,0,0,0
213,Ashley Barnes,Burnley,14.8,41,2.77,28,0,0,6,5,2,2,0.13,0,0,0,1,1,0
214,Harvey Barnes,Leicester City,21.6,71,3.29,49,0,7,8,7,0,10,0.46,8,0,1,0,1,0
215,Marc Baro,Cádiz,1.0,4,4.00,0,2,1,1,0,0,0,0.00,0,0,0,0,0,0
216,Antonio Barragan,Elche,24.8,27,1.09,21,2,1,1,2,0,7,0.28,4,1,1,0,1,0
217,Antonio Barreca,Fiorentina,0.9,2,2.12,2,0,0,0,0,0,1,1.06,1,0,0,0,0,0
218,Leandro Barreiro Martins,Mainz 05,25.6,30,1.17,24,0,1,1,3,1,2,0.08,2,0,0,0,0,0
219,Ander Barrenetxea,Real Sociedad,14.5,34,2.34,26,1,4,2,1,0,4,0.28,4,0,0,0,0,0
220,Jacob Barrett Laursen,Arminia,12.3,11,0.89,8,2,0,0,1,0,1,0.08,1,0,0,0,0,0
221,Musa Barrow,Bologna,32.5,111,3.42,75,15,9,11,1,0,11,0.34,8,2,0,1,0,0
222,Kyle Bartley,West Brom,28.7,14,0.49,11,0,0,2,0,1,2,0.07,2,0,0,0,0,0
223,Paolo Bartolomei,Spezia,3.6,9,2.54,8,1,0,0,0,0,2,0.56,2,0,0,0,0,0
224,Marc Bartra,Betis,18.8,9,0.48,7,0,1,0,0,1,1,0.05,1,0,0,0,0,0
225,Daniele Baselli,Torino,4.4,14,3.17,9,4,0,1,0,0,1,0.23,1,0,0,0,0,0
226,Chris Basham,Sheffield Utd,28.6,25,0.87,19,1,3,0,2,0,2,0.07,0,1,1,0,0,0
227,Toma Basic,Bordeaux,28.9,58,2.01,31,11,4,4,5,3,3,0.10,0,1,2,0,0,0
